Tue Jul 13 17:28:26 2021    output2.dat

         9700 function calls (9465 primitive calls) in 0.705 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\ntpath.py:450(normpath)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:355(_escape)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\random.py:168(getstate)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\random.py:211(__reduce__)
       10    0.000    0.000    0.645    0.064 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\context.py:222(_Popen)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\context.py:249(get_start_method)
       10    0.000    0.000    0.645    0.064 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\context.py:324(_Popen)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\process.py:61(_cleanup)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\process.py:80(__init__)
       10    0.000    0.000    0.645    0.064 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\process.py:110(start)
       10    0.000    0.000    0.039    0.004 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\process.py:142(join)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\_weakrefset.py:39(_remove)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\_weakrefset.py:82(add)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\process.py:189(name)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\process.py:213(authkey)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\reduction.py:71(duplicate)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\sharedctypes.py:128(reduce_ctype)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\sharedctypes.py:198(__reduce__)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\heap.py:53(__getstate__)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\subprocess.py:272(_optim_args_from_interpreter_flags)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\subprocess.py:282(_args_from_interpreter_flags)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\synchronize.py:100(__getstate__)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\popen_spawn_win32.py:28(_close_handles)
       10    0.000    0.000    0.641    0.064 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\popen_spawn_win32.py:44(__init__)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\popen_spawn_win32.py:97(duplicate_for_child)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\spawn.py:45(get_executable)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\spawn.py:78(get_command_line)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\spawn.py:132(_check_not_importing_main)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\spawn.py:150(get_preparation_data)
       10    0.000    0.000    0.000    0.000 {function Random.getstate at 0x000001A643E7A160}
       10    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
       10    0.000    0.000    0.000    0.000 {built-in method io.open}
       10    0.000    0.000    0.000    0.000 {built-in method _winapi.CreatePipe}
       10    0.017    0.002    0.017    0.002 {built-in method _winapi.CreateProcess}
       10    0.000    0.000    0.000    0.000 {built-in method _winapi.DuplicateHandle}
       10    0.000    0.000    0.000    0.000 {built-in method _winapi.GetCurrentProcess}
       10    0.000    0.000    0.000    0.000 {built-in method _winapi.GetExitCodeProcess}
       10    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
       10    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
       10    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       10    0.000    0.000    0.000    0.000 {built-in method msvcrt.open_osfhandle}
        9    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:65(_combine_flags)
        9    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:84(opengroup)
        9    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:96(closegroup)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1407(<genexpr>)
        8    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\collections\__init__.py:419(<genexpr>)
        8    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:249(_compile_charset)
        8    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:276(_optimize_charset)
        8    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:423(_simple)
        8    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:168(__setitem__)
        8    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        8    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        8    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        8    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        5    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1095(__init__)
        4    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap_external>:1106(create_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1114(exec_module)
